source,current_name,proposed_name,name_decision,name_rationale,module,kind,parameter,current_default,default_decision,default_rationale,migration_note
pyo3,m2_structured_stat,m2_structured_stat,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,xi_seed,0,require,ADR-0028 rule 3: stochastic routines must not ship a default seed -> required argument.,"Deprecation: keep xi_seed=0 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,mantel_haenszel_dif,mantel_haenszel_dif,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,exclude_studied_item,false,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,mantel_haenszel_dif,mantel_haenszel_dif,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,fdr_q,0.05,require,ADR-0028 rule 2: decision threshold / flag cutoff / stopping rule; no APA 7th source cited for this specific value -> required argument.,"Deprecation: keep fdr_q=0.05 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,mantel_haenszel_dif_purified,mantel_haenszel_dif_purified,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,exclude_studied_item,false,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,mantel_haenszel_dif_purified,mantel_haenszel_dif_purified,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,fdr_q,0.05,require,ADR-0028 rule 2: decision threshold / flag cutoff / stopping rule; no APA 7th source cited for this specific value -> required argument.,"Deprecation: keep fdr_q=0.05 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,mantel_haenszel_dif_purified,mantel_haenszel_dif_purified,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,max_rounds,3,require,ADR-0028 rule 2: decision threshold / flag cutoff / stopping rule; no APA 7th source cited for this specific value -> required argument.,"Deprecation: keep max_rounds=3 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,mantel_haenszel_dif_purified,mantel_haenszel_dif_purified,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,min_anchor_items,4,require,ADR-0028 rule 2: decision threshold / flag cutoff / stopping rule; no APA 7th source cited for this specific value -> required argument.,"Deprecation: keep min_anchor_items=4 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,maxwell_re,maxwell_re,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,mean_pairwise_cor,mean_pairwise_cor,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,mean_pairwise_rho,mean_pairwise_rho,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,metrics_rating,metrics_rating,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,minres_fa,minres_fa,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,minres_fa_from_data,minres_fa_from_data,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,mokken_aisp,mokken_aisp,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,alpha,0.05,require,ADR-0028 rule 2: decision threshold / flag cutoff / stopping rule; no APA 7th source cited for this specific value -> required argument.,"Deprecation: keep alpha=0.05 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,mokken_aisp,mokken_aisp,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,c,0.3,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,mokken_coef_h,mokken_coef_h,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,n_cohen_kappa,n_cohen_kappa,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,neg_loglik_and_grad,neg_loglik_and_grad,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,device,"""cpu""",keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,nominal_weights_mean_equate,nominal_weights_mean_equate,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,w1,0.5,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,oakes_standard_errors,oakes_standard_errors,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,h,1e-5,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,oakes_standard_errors,oakes_standard_errors,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,lambda_alpha,1.0,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,oakes_standard_errors,oakes_standard_errors,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,lambda_b,0.25,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,oakes_standard_errors,oakes_standard_errors,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,lambda_tau,1.0,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,oakes_standard_errors,oakes_standard_errors,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,lambda_zeta,1.0,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,oakes_standard_errors,oakes_standard_errors,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,mu,None,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,oakes_standard_errors,oakes_standard_errors,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,mu_alpha,0.5,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,oakes_standard_errors,oakes_standard_errors,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,mu_tau,0.5,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,oakes_standard_errors,oakes_standard_errors,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,n_pop,0,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,oakes_standard_errors,oakes_standard_errors,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,pop_id,None,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,oakes_standard_errors,oakes_standard_errors,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,pop_kind,"""single""",keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,oakes_standard_errors,oakes_standard_errors,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,q_theta,21,require,ADR-0028 rule 1: numerical-precision (quadrature node count) control; no in-repo citation for this value and/or below the AGENTS.md #1929 floor of 121 -> required argument.,"Deprecation: keep q_theta=21 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,oakes_standard_errors,oakes_standard_errors,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,q_u,15,require,ADR-0028 rule 1: numerical-precision (quadrature node count) control; no in-repo citation for this value and/or below the AGENTS.md #1929 floor of 121 -> required argument.,"Deprecation: keep q_u=15 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,oakes_standard_errors,oakes_standard_errors,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,q_xi,11,require,ADR-0028 rule 1: numerical-precision (quadrature node count) control; no in-repo citation for this value and/or below the AGENTS.md #1929 floor of 121 -> required argument.,"Deprecation: keep q_xi=11 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,oakes_standard_errors,oakes_standard_errors,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,sigma,None,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,oakes_standard_errors,oakes_standard_errors,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,sigma_u,0.0,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,oakes_standard_errors,oakes_standard_errors,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,xi_points,256,require,ADR-0028 rule 1: numerical-precision (quadrature node count) control; no in-repo citation for this value and/or below the AGENTS.md #1929 floor of 121 -> required argument.,"Deprecation: keep xi_points=256 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,oakes_standard_errors,oakes_standard_errors,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,xi_rule,"""gh""",keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,oakes_standard_errors,oakes_standard_errors,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,xi_seed,0,require,ADR-0028 rule 3: stochastic routines must not ship a default seed -> required argument.,"Deprecation: keep xi_seed=0 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,observed_information,observed_information,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,omega_total_1f,omega_total_1f,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,omega_total_1f_from_data,omega_total_1f_from_data,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,parallel_analysis,parallel_analysis,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,person_fit_resampling,person_fit_resampling,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,n_replicates,200,require,ADR-0028 rule 1: replicate/bootstrap/draw count; no Monte-Carlo-error source cited -> required argument.,"Deprecation: keep n_replicates=200 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,person_fit_resampling,person_fit_resampling,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,prior_mean,None,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,person_fit_resampling,person_fit_resampling,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,seed,1,require,ADR-0028 rule 3: stochastic routines must not ship a default seed -> required argument.,"Deprecation: keep seed=1 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,person_fit_stat,person_fit_stat,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,flag_threshold,-1.645,require,ADR-0028 rule 2: decision threshold / flag cutoff / stopping rule; no APA 7th source cited for this specific value -> required argument.,"Deprecation: keep flag_threshold=-1.645 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,person_fit_stat,person_fit_stat,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,prior_mean,None,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,phi_lambda,phi_lambda,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,plausible_values,plausible_values,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,device,"""auto""",keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,plausible_values,plausible_values,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,n_draws,5,require,ADR-0028 rule 1: replicate/bootstrap/draw count; no Monte-Carlo-error source cited -> required argument.,"Deprecation: keep n_draws=5 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,plausible_values,plausible_values,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,q_theta,21,require,ADR-0028 rule 1: numerical-precision (quadrature node count) control; no in-repo citation for this value and/or below the AGENTS.md #1929 floor of 121 -> required argument.,"Deprecation: keep q_theta=21 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,plausible_values,plausible_values,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,q_xi,11,require,ADR-0028 rule 1: numerical-precision (quadrature node count) control; no in-repo citation for this value and/or below the AGENTS.md #1929 floor of 121 -> required argument.,"Deprecation: keep q_xi=11 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,plausible_values,plausible_values,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,seed,1,require,ADR-0028 rule 3: stochastic routines must not ship a default seed -> required argument.,"Deprecation: keep seed=1 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,plausible_values,plausible_values,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,xi_points,256,require,ADR-0028 rule 1: numerical-precision (quadrature node count) control; no in-repo citation for this value and/or below the AGENTS.md #1929 floor of 121 -> required argument.,"Deprecation: keep xi_points=256 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,plausible_values,plausible_values,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,xi_rule,"""gh""",keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,plausible_values,plausible_values,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,xi_seed,0,require,ADR-0028 rule 3: stochastic routines must not ship a default seed -> required argument.,"Deprecation: keep xi_seed=0 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,poly_cat_simulate,poly_cat_simulate,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,adaptive,true,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,poly_cat_simulate,poly_cat_simulate,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,max_items,30,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,poly_cat_simulate,poly_cat_simulate,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,min_items,5,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,poly_cat_simulate,poly_cat_simulate,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,model,"""grm""",require,ADR-0028 rule 4: function is model-generic (not model-specific by name) -> model choice has no default.,"Deprecation: keep model=""grm"" accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,poly_cat_simulate,poly_cat_simulate,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,q_theta,21,require,ADR-0028 rule 1: numerical-precision (quadrature node count) control; no in-repo citation for this value and/or below the AGENTS.md #1929 floor of 121 -> required argument.,"Deprecation: keep q_theta=21 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,poly_cat_simulate,poly_cat_simulate,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,se_threshold,0.3,require,ADR-0028 rule 2: decision threshold / flag cutoff / stopping rule; no APA 7th source cited for this specific value -> required argument.,"Deprecation: keep se_threshold=0.3 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,poly_cat_simulate,poly_cat_simulate,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,seed,0,require,ADR-0028 rule 3: stochastic routines must not ship a default seed -> required argument.,"Deprecation: keep seed=0 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,poly_dif,poly_dif,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,fdr_q,0.05,require,ADR-0028 rule 2: decision threshold / flag cutoff / stopping rule; no APA 7th source cited for this specific value -> required argument.,"Deprecation: keep fdr_q=0.05 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,poly_dif,poly_dif,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,max_iter,200,require,ADR-0028 rule 1: iteration/convergence precision control; no documented convergence-criterion source -> required argument.,"Deprecation: keep max_iter=200 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,poly_dif,poly_dif,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,model,"""gpcm""",require,ADR-0028 rule 4: function is model-generic (not model-specific by name) -> model choice has no default.,"Deprecation: keep model=""gpcm"" accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,poly_dif,poly_dif,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,observed,None,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,poly_dif,poly_dif,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,q_theta,21,require,ADR-0028 rule 1: numerical-precision (quadrature node count) control; no in-repo citation for this value and/or below the AGENTS.md #1929 floor of 121 -> required argument.,"Deprecation: keep q_theta=21 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,poly_dif,poly_dif,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,studied_items,None,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,poly_dif,poly_dif,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,tol,1e-5,require,ADR-0028 rule 1: iteration/convergence precision control; no documented convergence-criterion source -> required argument.,"Deprecation: keep tol=1e-5 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,poly_information_curves,poly_information_curves,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,model,"""grm""",require,ADR-0028 rule 4: function is model-generic (not model-specific by name) -> model choice has no default.,"Deprecation: keep model=""grm"" accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,poly_item_fit_sx2,poly_item_fit_sx2,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,min_expected,1.0,require,ADR-0028 rule 2: decision threshold / flag cutoff / stopping rule; no APA 7th source cited for this specific value -> required argument.,"Deprecation: keep min_expected=1.0 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,poly_item_fit_sx2,poly_item_fit_sx2,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,model,"""grm""",require,ADR-0028 rule 4: function is model-generic (not model-specific by name) -> model choice has no default.,"Deprecation: keep model=""grm"" accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,poly_item_fit_sx2,poly_item_fit_sx2,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,observed,None,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,poly_item_fit_sx2,poly_item_fit_sx2,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,q_theta,21,require,ADR-0028 rule 1: numerical-precision (quadrature node count) control; no in-repo citation for this value and/or below the AGENTS.md #1929 floor of 121 -> required argument.,"Deprecation: keep q_theta=21 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,poly_local_dependence,poly_local_dependence,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,model,"""grm""",require,ADR-0028 rule 4: function is model-generic (not model-specific by name) -> model choice has no default.,"Deprecation: keep model=""grm"" accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,poly_local_dependence,poly_local_dependence,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,observed,None,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,poly_local_dependence,poly_local_dependence,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,q_theta,21,require,ADR-0028 rule 1: numerical-precision (quadrature node count) control; no in-repo citation for this value and/or below the AGENTS.md #1929 floor of 121 -> required argument.,"Deprecation: keep q_theta=21 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,poly_m2,poly_m2,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,model,"""grm""",require,ADR-0028 rule 4: function is model-generic (not model-specific by name) -> model choice has no default.,"Deprecation: keep model=""grm"" accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,poly_m2,poly_m2,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,observed,None,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,poly_m2,poly_m2,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,q_theta,21,require,ADR-0028 rule 1: numerical-precision (quadrature node count) control; no in-repo citation for this value and/or below the AGENTS.md #1929 floor of 121 -> required argument.,"Deprecation: keep q_theta=21 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,poly_person_fit,poly_person_fit,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,flag_threshold,-1.645,require,ADR-0028 rule 2: decision threshold / flag cutoff / stopping rule; no APA 7th source cited for this specific value -> required argument.,"Deprecation: keep flag_threshold=-1.645 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,poly_person_fit,poly_person_fit,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,model,"""grm""",require,ADR-0028 rule 4: function is model-generic (not model-specific by name) -> model choice has no default.,"Deprecation: keep model=""grm"" accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,poly_person_fit,poly_person_fit,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,observed,None,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,poly_person_fit,poly_person_fit,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,prior_mean,0.0,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,poly_person_fit,poly_person_fit,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,prior_sd,1.0,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,poly_person_fit,poly_person_fit,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,q_theta,21,require,ADR-0028 rule 1: numerical-precision (quadrature node count) control; no in-repo citation for this value and/or below the AGENTS.md #1929 floor of 121 -> required argument.,"Deprecation: keep q_theta=21 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,polytomous_predictions,polytomous_predictions,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,predict_rating_multi,predict_rating_multi,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,predict_rating_two,predict_rating_two,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,projected_m2,projected_m2,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,py_a_stratified,py_a_stratified,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,py_breslow_day_dif,py_breslow_day_dif,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
